Antiguedad,Nro_pisos,Dormitorios,Area_constr_m2,Area_total_m2,Precio
3,2,4,301,470,800000
2,2,4,271,300,465000
3,2,4,220,410,650000
7,2,4,300,480,900000
3,1,5,480,1600,1900000
2,2,3,310,345,290000
5,2,4,430,450,678000
1,3,4,375,474,750000
5,3,4,300,300,530000
1,2,4,550,550,790000
3,3,3,360,160,360000
3,2,3,312,700,890000
1,2,4,350,700,1100000
2,2,5,384,329,350000
1,3,4,346,339,670000
2,2,3,300,300,520000
3,2,4,250,1000,780000
3,2,4,250,1000,780000
3,2,4,250,1000,780000
3,2,4,250,1000,780000
2,2,3,185,173,350000
2,2,5,350,1000,780000
2,2,4,450,1464,1350000
1,2,3,400,570,1200000
2,3,4,300,295,600000
3,3,4,235,160,330000
1,2,4,484,435,1150000
3,2,4,425,580,850000
2,2,5,280,440,490000
1,2,3,330,440,550000
9,3,5,310,300,650000
2,2,5,500,2849,1800000
1,2,4,296,323,540000
7,2,4,300,520,790000
5,3,4,216,87,260000
1,2,3,280,300,410000
1,2,3,235,250,530000
3,2,5,230,160,320000
2,2,4,1037,1146,3500000
2,2,4,500,1320,830000
4,2,4,430,1504,1200000
3,2,3,120,148,255000
2,3,4,250,300,430000
1,2,4,500,1580,1500000
4,2,3,450,500,1080000
2,1,3,220,375,450000
3,2,3,434,650,950000
3,3,3,261,160,380000
1,2,4,401,665,930000
3,2,5,517,1098,2380000
1,2,4,363,529,760000
5,2,4,325,335,640000
2,3,4,365,364,670000
1,2,4,240,420,450000
1,2,4,500,1000,1450000
4,1,3,260,1000,890000
3,1,3,275,185,465000
1,2,4,550,1200,1250000
1,1,3,200,639,690000
1,2,4,370,300,490000
2,2,4,383,800,750000
6,2,5,380,613,750000
1,2,5,346,339,670000
1,2,5,354,331,670000
1,3,5,354,324,670000
3,3,5,450,850,935000
3,3,4,555,3249,3899556
2,2,3,305,462,790000
3,1,4,400,1138,1500000
1,2,5,425,778,1100000
9,2,3,428,700,1400000
1,3,4,348,294,410000
1,2,3,540,1353,930000
1,2,4,422,624,1260000
1,2,4,414,624,1260000
3,2,3,300,398,575000
4,2,3,390,800,1300000
2,2,4,400,1138,1400000
3,3,3,374,1200,1100000
3,2,3,383,800,690000
5,2,3,260,300,585000
1,2,4,450,750,950000
1,2,4,450,900,2500000
3,2,4,500,1000,1390000
1,2,3,357,465,740000
3,2,4,420,385,670000
3,2,5,447,1235,1200000
4,2,5,540,1085,1950000
1,2,4,500,1000,1590000
8,2,3,250,300,550000
1,5,4,1000,520,1700000
2,1,4,500,1000,1450000
1,2,4,836,1651,2200000
8,2,4,560,1196,2200000
8,2,3,300,300,530000
8,2,4,300,300,530000
2,1,4,521,1024,1200000
1,3,3,217,150,350000
2,2,4,412,671,930000
2,2,3,524,1020,1290000
2,2,3,350,1091,1130000
1,2,4,455,781,1400000
2,3,3,165,159,225000
