Antiguedad,Nro_pisos,Dormitorios,Area_constr_m2,Area_total_m2,Precio
3,2,3,700,1150,2200000
8,2,3,232,301,455000
2,2,4,450,1100,1390000
7,2,4,258,309,590000
1,2,4,303,332,650000
8,2,4,253,308,425000
4,2,3,401,1138,1400000
3,3,4,262,253,435000
9,2,4,341,403,550000
1,2,3,350,700,970000
7,2,4,307,318,530000
7,2,3,500,750,1300000
2,2,4,305,462,800000
3,2,3,700,1064,1300000
4,2,3,700,1064,1300000
2,2,3,607,847,1800000
3,3,3,284,250,645000
1,2,3,404,570,1200000
2,2,4,324,324,670000
2,3,5,421,469,940000
3,1,5,300,2352,2500000
2,1,4,378,1047,1680000
3,2,4,260,340,520000
2,2,3,700,3328,3150000
1,2,4,700,1200,2500000
7,2,3,300,450,820000
2,8,5,774,1063,1600000
2,3,3,195,140,349000
3,2,3,600,960,950000
1,2,4,250,285,530000
3,1,3,276,781,900000
4,2,4,460,1000,1320000
8,2,4,413,830,1200000
2,3,3,190,120,385000
2,2,4,450,1200,1390000
1,2,4,700,1190,1780000
5,2,3,210,300,499000
4,2,4,352,1028,780000
1,2,4,730,1500,1900000
1,2,4,600,1420,2000000
3,2,4,515,1299,1080000
3,2,4,430,1504,1200000
9,2,4,380,600,990000
2,2,4,336,1000,895000
3,2,3,415,1026,2900000
1,1,3,275,559,650000
2,2,4,500,700,1200000
1,2,4,549,1156,1200000
3,2,4,412,671,980000
2,2,4,482,909,1480000
1,2,4,255,300,498000
1,2,4,201,259,495000
4,3,4,400,613,719900
9,2,3,305,313,510000
2,2,3,523,1020,1290000
1,2,4,290,430,670000
1,2,3,320,368,520000
2,3,4,345,317,570000
2,2,4,280,580,730000
1,3,3,225,170,419000
3,2,3,300,451,530000
2,2,4,327,697,830000
2,1,3,720,3328,4992000
6,2,4,390,500,720000
3,2,4,303,335,480000
2,2,4,510,580,790000
2,3,4,400,380,485000
1,3,3,536,237,550000
6,2,4,450,700,1050000
4,2,4,700,2800,3000000
2,2,4,522,800,1600000
1,2,4,500,1100,890000
1,2,4,407,1545,1800000
2,3,4,303,335,480000
2,2,4,450,1100,1390000
2,2,3,400,1000,920000
4,2,3,267,1047,1300000
9,2,4,296,323,540000
3,2,3,480,1006,1600000
3,2,4,487,1016,1350000
3,2,4,420,1000,1600000
2,1,3,220,674,690000
9,2,4,440,1200,1200000
2,2,3,350,1150,1700000
3,2,4,605,1010,1200000
2,2,4,473,1213,1550000
3,3,4,800,500,1990000
1,2,3,250,300,530000
3,3,5,481,278,1470000
3,3,4,518,220,1470000
2,2,4,468,554,998000
3,2,4,373,600,1050000
1,2,4,500,1000,1150000
3,3,4,360,450,840000
2,3,4,310,240,370000
3,3,5,490,350,680000
9,2,4,333,757,789000
2,2,4,246,250,420000
1,2,4,358,463,720000
1,2,4,327,313,700000
1,2,3,220,240,520000
1,2,5,370,1050,890000
4,1,3,188,1007,850000
4,2,4,350,1015,870000
5,3,3,216,87,260000
2,3,5,357,180,480000
1,2,5,600,1000,1780000
1,2,4,350,1000,1850000
3,1,4,510,1169,1750000
3,2,5,426,640,1050000
1,2,3,300,600,1100000
3,3,4,400,380,465000
1,2,3,254,302,435000
1,2,4,750,1500,1200000
3,2,3,325,1151,1350000
3,2,5,712,1064,1200000
1,2,3,800,1050,2300000
2,1,4,420,580,718000
1,2,4,450,2500,3000000
3,1,4,330,1180,1550000
9,2,3,350,610,720000
1,3,3,608,921,1350000
2,2,3,380,500,600000
2,2,3,186,190,250000
3,1,4,425,580,750000
1,2,3,350,485,700000
1,2,4,245,313,479000
1,2,4,349,625,1150000
1,2,3,150,209,340000
3,2,3,400,1258,1490000
1,3,3,380,280,650000
4,2,4,436,1060,1500000
4,2,4,380,1138,1350000
2,2,4,580,1030,2100000
2,2,5,600,1900,1490000
2,1,4,326,509,1300000
3,2,4,600,1132,1800000
2,3,4,296,437,550000
2,2,3,200,500,515000
3,2,3,700,1150,2200000
3,2,4,325,1281,2200000
4,2,4,419,820,2500000
2,3,4,351,331,670000
2,2,4,338,364,670000
1,2,4,354,324,670000
2,2,3,249,462,1150000
7,2,4,318,323,530000
9,2,5,227,298,635000
3,2,4,700,1198,1210000
2,2,3,200,500,515000
3,2,3,375,1281,2200000
3,2,4,500,1200,1200000
1,3,5,395,502,928000
3,2,4,397,467,790000
1,2,3,410,570,1200000
3,2,4,383,480,790000
1,2,5,560,990,1290000
2,2,4,350,650,890000
8,3,4,300,300,680000
2,2,3,268,845,1200000
1,2,3,325,394,745000
2,3,4,412,671,930000
3,2,4,487,1016,1350000
4,2,3,390,800,1300000
9,2,3,262,403,510000
3,2,3,374,1200,1100000
2,2,4,572,2500,1850000
4,2,4,420,1000,1600000
1,3,4,460,1000,965000
3,2,4,800,2500,2800000
6,2,4,440,1800,1200000
2,2,4,400,1100,1500000
1,2,4,305,315,479000
6,2,4,691,958,1300000
7,3,4,300,300,690000
8,2,3,178,123,405000
8,2,4,430,503,745000
1,2,4,400,1248,930000
2,2,4,420,580,1190000
9,2,4,405,600,990000
3,2,3,400,566,800000
2,2,3,400,890,1150000
2,2,4,215,725,750000
1,2,3,278,512,615000
1,2,4,550,1000,1150000
1,2,4,710,982,2600000
1,2,4,315,556,900000
3,2,3,711,1074,1350000
2,2,4,256,160,295000
1,2,3,465,745,2000000
6,2,4,525,565,950000
1,2,4,700,1350,2750000
2,2,3,300,300,600000
2,2,4,850,2640,2587200
3,2,4,400,600,950000
1,2,5,644,1140,2200000
3,2,5,800,2352,2500000
6,2,3,323,600,1100000
1,2,5,517,1098,2380000
2,2,3,450,1150,1385000
3,2,4,550,1000,1100000
8,2,4,560,1000,1695000
1,2,4,400,700,980000
2,2,3,684,9300,8000000
1,2,4,580,1100,1100000
4,2,4,340,1015,870000
2,2,4,400,700,980000
3,2,3,530,800,1900000
5,2,4,745,2535,3350000
6,3,4,556,515,1200000
6,3,4,556,515,1200000
1,3,3,1,1,945000
9,2,3,350,550,1000000
3,3,4,518,425,1470000
3,3,4,518,425,1323000
1,2,3,237,503,580000
1,2,4,348,540,640000
1,2,3,400,855,750000
3,2,4,480,690,750000
1,2,3,360,565,1099000
2,2,4,565,1390,1190000
9,3,4,242,240,480000
2,2,3,420,1100,1100000
1,2,4,249,321,493000
2,2,3,302,1180,750000
1,2,4,456,1180,1600000
1,2,5,510,699,1400000
3,2,4,1160,1160,1450000
2,2,3,416,822,900000
1,2,4,300,340,540000
2,2,3,374,1200,1100000
1,2,4,290,570,950000
1,2,4,440,1172,1150000
1,2,4,290,578,950000
2,1,4,450,1060,1350000
3,2,4,374,1263,1860000
3,2,4,402,2535,2535000
1,2,3,350,870,1250000
2,2,4,437,1074,1390000
1,2,4,500,1000,1450000
3,2,4,400,1018,1500000
3,2,3,350,527,700000
2,3,4,438,1096,900000
3,2,5,375,600,900000
3,2,4,594,1892,1600000
1,3,4,356,532,540000
2,2,4,412,671,930000
4,2,4,339,1015,870000
9,2,4,300,304,795000
3,2,4,380,1096,1500000
4,2,4,500,2640,3168000
3,2,5,283,310,850000
